Terület;Nemzeti dohányboltok száma (db);Önálló vállalkozó által üzemeltetett nemzeti dohányboltok száma (db);Regisztrált korlátolt felelősségű társaságok száma (db);Regisztrált szövetkezetek száma - GFO'11 (db);Működő vállalkozások száma (vállalkozási demográfia szerint) - GFO'11, GFO'14 (db);Működő jogi személyiségű vállalkozások száma (vállalkozási demográfia szerint) - GFO\'11 (db);Működő szövetkezetek száma (vállalkozási demográfia szerint) - GFO'11, GFO'14 (db);Megszűnt vállalkozások száma - GFO'11 (db);Működő jogi személyiség nélküli vállalkozások száma (vállalkozási demográfia szerint) - GFO\'11 (db);Működő társas vállalkozások száma összesen (vállalkozási demográfia szerint) - GFO\'11, GFO\'14 (db);Regisztrált vállalkozások száma - GFO'14 (db);Regisztrált jogi személyiségű vállalkozások száma - GFO'14 (db);Regisztrált jogi személyiség nélküli társas vállalkozások száma - GFO'14 (db);Regisztrált társas vállalkozások száma - GFO'14 (db);Megszűnt vállalkozások száma - GFO'14 (db);Működő jogi személyiségű vállalkozások száma (vállalkozási demográfia szerint) - GFO\'14 (db);Működő jogi személyiség nélküli vállalkozások száma (vállalkozási demográfia szerint) - GFO\'14 (db);Regisztrált szövetkezetek száma - GFO'14 (db);Regisztrált betéti társaságok száma (db);Regisztrált önálló vállalkozók száma (db);Működő korlátolt felelősségű társaságok száma (vállalkozási demográfia szerint) (db);Működő részvénytársaságok száma (vállalkozási demográfia szerint) (db);Működő agrárgazdasági szövetkezetek száma (vállalkozási demográfia szerint) (db);Működő betéti társaságok száma (vállalkozási demográfia szerint) (db);Működő közkereseti társaságok száma (vállalkozási demográfia szerint) (db);Működő egyéni vállalkozók száma (vállalkozási demográfia szerint) (db);Regisztrált nonprofit gazdasági társaságok száma - GFO'14 (db);Regisztrált részvénytársaságok száma (db);Regisztrált közkereseti társaságok száma (db);Regisztrált agrárgazdasági szövetkezetek száma (db);Regisztrált főfoglalkozású önálló vállalkozók száma (db);Regisztrált mellékfoglalkozású önálló vállalkozók száma (db);Regisztrált nyugdíjas önálló vállalkozók száma (db);Regisztrált egyéni vállalkozók száma (db);Regisztrált főfoglalkozású egyéni vállalkozók száma (db);Regisztrált mellékfoglalkozású egyéni vállalkozók száma (db);Regisztrált nyugdíjas egyéni vállalkozók száma (db);Regisztrált őstermelők száma 2022-ig (db);Regisztrált vállalkozások száma - GFO'11 (db);Regisztrált jogi személyiségű vállalkozások száma - GFO'11 (db);Regisztrált jogi személyiség nélküli társas vállalkozások száma - GFO'11 (db);Regisztrált társas vállalkozások száma - GFO'11 (db);Működő főfoglalkozású egyéni vállalkozók száma (vállalkozási demográfia szerint) (db);Működő mellékfoglalkozású egyéni vállalkozók száma (vállalkozási demográfia szerint) (db);Működő nyugdíjas egyéni vállalkozók száma (vállalkozási demográfia szerint) (db);Regisztrált őstermelők száma (db);Működő önálló vállalkozók száma (vállalkozási demográfia szerint, gazdasági egység szinten) (db);Működő főfoglalkozású önálló vállalkozók száma (vállalkozási demográfia szerint, gazdasági egység szinten) (db);Működő mellékfoglalkozású önálló vállalkozók száma (vállalkozási demográfia szerint, gazdasági egység szinten) (db);Működő nyugdíjas önálló vállalkozók száma (vállalkozási demográfia szerint, gazdasági egység szinten) (db);Működő vállalkozások száma nonprofit gazdasági társaságokkal együtt (vállalkozási demográfia szerint) - GFO\'14 (db);Működő jogi személyiségű vállalkozások száma nonprofit gazdasági társaságokkal együtt (vállalkozási demográfia szerint) - GFO\'14 (db);Működő nonprofit korlátolt felelősségű  társaságok száma (vállalkozási demográfia szerint) (db);Működő nonprofit gazdasági társaságok száma (vállalkozási demográfia szerint) (db);Működő önálló vállalkozók száma (vállalkozási demográfia szerint) (db);Működő vállalkozások száma egyéb szervezetekkel együtt (vállalkozási demográfia szerint, gazdasági egység szinten) - GFO\'14 (db);Működő korlátolt felelősségű társaságok száma (vállalkozási demográfia szerint, gazdasági egység szinten) (db);Működő részvénytársaságok száma (vállalkozási demográfia szerint, gazdasági egység szinten) (db);Működő szövetkezetek száma (vállalkozási demográfia szerint, gazdasági egység szinten) - GFO\'14 (db);Működő egyéb társas vállalkozások száma (vállalkozási demográfia szerint, gazdasági egység szinten) - GFO\'14 (db);Működő közkereseti társaságok száma (vállalkozási demográfia szerint, gazdasági egység szinten) (db);Működő betéti társaságok száma (vállalkozási demográfia szerint, gazdasági egység szinten) (db);Működő társas vállalkozások száma összesen (vállalkozási demográfia szerint, gazdasági egység szinten) - GFO\'14 (db);Működő egyéb szervezetek száma (vállalkozási demográfia szerint, gazdasági egység szinten) (db);Regisztrált gazdasági szervezetek száma - GFO'11 (db);Regisztrált költségvetési szervek és költségvetési rend szerint gazdálkodó szervek (db);Regisztrált nonprofit és egyéb nem nyereségérdekelt szervezetek száma - GFO\'11, GFO\'14 (db);Regisztrált gazdasági szervezetek száma - GFO'14 (db);Statisztikai nagyrégió;Borvidékek, 2019;Agglomeráción belüli települések besorolása, 2003;Agglomeráció típusa, 2003;Járások;Megyék - általános területi beosztás;Agglomerációk, 2003;Települések jogállása - összevont verzió, 1994;Kedvezményezett települések  kódjának nómenklatúrája;Borrégiók, 2019;Kedvezményezett járások kódjának nómenklatúrája;Turisztikai régiók;Települések;Tervezési statisztikai régiók;Világörökségi helyszín védőövezete;Az EU NUTS rendszere 2016;Szabad vállalkozási zónák;Területfejlesztési szempontból kiemelt térségek;Települések megyeszékhely jellege, 1991;Járási székhely;Települések lakónépesség-nagyságkategóriái;Települések jogállása - bővített verzió, 2005;Nemzeti parkok
Ádánd;1;;27;;;;;;;;228;34;;34;28;;;;7;194;;;;;;;;;;;82;89;23;104;65;34;5;31;;;;;;;;;112;66;43;3;;;;;;143;24;;;;;7;31;;;5;11;245;2 - Dunántúl;9993 - A település nem tartozik borvidékbe - Dunántúl;9 - Településegyüttesbe nem tartozó település;9 - Településegyüttesbe nem tartozó települések;146 - Siófoki járás;14 - Somogy vármegye;999 - Településegyüttesbe nem tartozó települések;4 - Község;9 - Nem kedvezményezett település;9 - Nem tartozik borrégióhoz;9 - Nem tartozik kedvezményezett járáshoz;07 - Balatoni Régió;0608 - Ádánd;40 - Dél-Dunántúl (Baranya, Somogy, Tolna);99 - Nem világörökségi helyszín védőövezete;HU232 - Somogy;9 - Nem szabad vállakozási zóna;1 - Balaton Fejlesztési Tanács működési területe;2 - Nem megyeszékhely;0 - Nem székhelytelepülés;04 - 2000 - 4999;42 - Község;99 - Nem tartozik nemzeti parkhoz
Alsóbogát;1;1;3;;;;;;;;21;4;;4;1;;;1;;17;;;;;;;;;;;5;8;4;6;4;2;;3;;;;;;;;;7;5;2;;;;;;;11;3;;1;;;;4;;;1;5;27;2 - Dunántúl;9993 - A település nem tartozik borvidékbe - Dunántúl;9 - Településegyüttesbe nem tartozó település;9 - Településegyüttesbe nem tartozó települések;143 - Kaposvári járás;14 - Somogy vármegye;999 - Településegyüttesbe nem tartozó települések;4 - Község;3 - Társadalmi-gazdasági és infrastrukturális szempontból kedvezményezett és a j...;9 - Nem tartozik borrégióhoz;1 - Kedvezményezett járások;08 - Dél-Dunántúli Régió;3418 - Alsóbogát;40 - Dél-Dunántúl (Baranya, Somogy, Tolna);99 - Nem világörökségi helyszín védőövezete;HU232 - Somogy;9 - Nem szabad vállakozási zóna;9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez;2 - Nem megyeszékhely;0 - Nem székhelytelepülés;01 - 499;42 - Község;99 - Nem tartozik nemzeti parkhoz
Andocs;1;;29;;;;;;;;173;36;;36;9;;;1;5;137;;;;;;;2;;;;50;62;25;33;23;7;3;65;;;;;;;;;34;23;8;3;;;;;;67;24;;1;1;;6;32;1;;4;11;189;2 - Dunántúl;2600 - Balatonboglári borvidék;9 - Településegyüttesbe nem tartozó település;9 - Településegyüttesbe nem tartozó települések;147 - Tabi járás;14 - Somogy vármegye;999 - Településegyüttesbe nem tartozó települések;4 - Község;9 - Nem kedvezményezett település;9 - Nem tartozik borrégióhoz;2 - Fejlesztendő járások;07 - Balatoni Régió;2871 - Andocs;40 - Dél-Dunántúl (Baranya, Somogy, Tolna);99 - Nem világörökségi helyszín védőövezete;HU232 - Somogy;1 - Szabad vállakozási zóna;1 - Balaton Fejlesztési Tanács működési területe;2 - Nem megyeszékhely;0 - Nem székhelytelepülés;02 - 500 - 999;42 - Község;99 - Nem tartozik nemzeti parkhoz
Babócsa;1;;12;;;;;;;;171;18;;18;12;;;3;2;153;;;;;;;;1;;1;36;80;37;26;16;10;;51;;;;;;;;;30;16;13;1;;;;;;43;8;1;3;;;1;13;;;2;10;185;2 - Dunántúl;9993 - A település nem tartozik borvidékbe - Dunántúl;9 - Településegyüttesbe nem tartozó település;9 - Településegyüttesbe nem tartozó települések;140 - Barcsi járás;14 - Somogy vármegye;999 - Településegyüttesbe nem tartozó települések;4 - Község;3 - Társadalmi-gazdasági és infrastrukturális szempontból kedvezményezett és a j...;9 - Nem tartozik borrégióhoz;3 - Komplex programmal fejlesztendő járások;08 - Dél-Dunántúli Régió;3047 - Babócsa;40 - Dél-Dunántúl (Baranya, Somogy, Tolna);99 - Nem világörökségi helyszín védőövezete;HU232 - Somogy;1 - Szabad vállakozási zóna;9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez;2 - Nem megyeszékhely;0 - Nem székhelytelepülés;03 - 1000 - 1999;42 - Község;04 - Duna-Dráva Nemzeti Park
Bábonymegyer;1;1;5;;;;;;;;83;9;;9;4;;;;3;74;;;;;;;;1;;;31;33;10;32;20;12;;17;;;;;;;;;35;22;13;;;;;;;41;2;1;;;;3;6;;;2;6;91;2 - Dunántúl;9993 - A település nem tartozik borvidékbe - Dunántúl;9 - Településegyüttesbe nem tartozó település;9 - Településegyüttesbe nem tartozó települések;147 - Tabi járás;14 - Somogy vármegye;999 - Településegyüttesbe nem tartozó települések;4 - Község;3 - Társadalmi-gazdasági és infrastrukturális szempontból kedvezményezett és a j...;9 - Nem tartozik borrégióhoz;2 - Fejlesztendő járások;07 - Balatoni Régió;2831 - Bábonymegyer;40 - Dél-Dunántúl (Baranya, Somogy, Tolna);99 - Nem világörökségi helyszín védőövezete;HU232 - Somogy;1 - Szabad vállakozási zóna;1 - Balaton Fejlesztési Tanács működési területe;2 - Nem megyeszékhely;0 - Nem székhelytelepülés;02 - 500 - 999;42 - Község;99 - Nem tartozik nemzeti parkhoz
Bakháza;;;6;;;;;;;;24;6;;6;;;;;;18;;;;;;;;;;;6;9;3;6;3;3;;5;;;;;;;;;6;3;3;;;;;;;11;5;;;;;;5;;;1;1;26;2 - Dunántúl;9993 - A település nem tartozik borvidékbe - Dunántúl;9 - Településegyüttesbe nem tartozó település;9 - Településegyüttesbe nem tartozó települések;145 - Nagyatádi járás;14 - Somogy vármegye;999 - Településegyüttesbe nem tartozó települések;4 - Község;3 - Társadalmi-gazdasági és infrastrukturális szempontból kedvezményezett és a j...;9 - Nem tartozik borrégióhoz;2 - Fejlesztendő járások;08 - Dél-Dunántúli Régió;1439 - Bakháza;40 - Dél-Dunántúl (Baranya, Somogy, Tolna);99 - Nem világörökségi helyszín védőövezete;HU232 - Somogy;1 - Szabad vállakozási zóna;9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez;2 - Nem megyeszékhely;0 - Nem székhelytelepülés;01 - 499;42 - Község;99 - Nem tartozik nemzeti parkhoz
Balatonberény;1;1;29;;;;;;;;310;40;;40;36;;;;10;270;;;;;;;1;1;;;89;138;43;86;54;26;6;18;;;;;;;;;90;56;27;7;;;;;;119;20;;;;;8;28;1;;1;15;327;2 - Dunántúl;2600 - Balatonboglári borvidék;3 - Egyéb település;2 - Agglomerálódó térség;144 - Marcali járás;14 - Somogy vármegye;201 - Balatoni agglomerálódó térség;4 - Község;2 - Jelentős munkanélküliséggel sújtott települések;9 - Nem tartozik borrégióhoz;1 - Kedvezményezett járások;07 - Balatoni Régió;2737 - Balatonberény;40 - Dél-Dunántúl (Baranya, Somogy, Tolna);99 - Nem világörökségi helyszín védőövezete;HU232 - Somogy;9 - Nem szabad vállakozási zóna;1 - Balaton Fejlesztési Tanács működési területe;2 - Nem megyeszékhely;0 - Nem székhelytelepülés;03 - 1000 - 1999;42 - Község;02 - Balaton-felvidéki Nemzeti Park
Balatonboglár;3;3;237;;;;;;;;2023;311;1;312;124;;;1;65;1711;;;;;;;4;4;4;;508;811;392;449;290;139;20;278;;;;;;;;;475;308;145;22;;;;;;735;190;3;;;3;60;256;4;;7;80;2111;2 - Dunántúl;2600 - Balatonboglári borvidék;2 - Társközpont;2 - Agglomerálódó térség;142 - Fonyódi járás;14 - Somogy vármegye;201 - Balatoni agglomerálódó térség;3 - Város;9 - Nem kedvezményezett település;9 - Nem tartozik borrégióhoz;1 - Kedvezményezett járások;07 - Balatoni Régió;3385 - Balatonboglár;40 - Dél-Dunántúl (Baranya, Somogy, Tolna);99 - Nem világörökségi helyszín védőövezete;HU232 - Somogy;9 - Nem szabad vállakozási zóna;1 - Balaton Fejlesztési Tanács működési területe;2 - Nem megyeszékhely;0 - Nem székhelytelepülés;05 - 5000 - 9999;30 - Város;99 - Nem tartozik nemzeti parkhoz
Balatonendréd;1;1;27;;;;;;;;248;36;;36;18;;;;8;212;;;;;;;;1;;;86;94;32;89;56;32;1;52;;;;;;;;;93;56;36;1;;;;;;120;20;1;;;;6;27;;;2;8;258;2 - Dunántúl;2600 - Balatonboglári borvidék;9 - Településegyüttesbe nem tartozó település;9 - Településegyüttesbe nem tartozó települések;146 - Siófoki járás;14 - Somogy vármegye;999 - Településegyüttesbe nem tartozó települések;4 - Község;9 - Nem kedvezményezett település;9 - Nem tartozik borrégióhoz;9 - Nem tartozik kedvezményezett járáshoz;07 - Balatoni Régió;1946 - Balatonendréd;40 - Dél-Dunántúl (Baranya, Somogy, Tolna);99 - Nem világörökségi helyszín védőövezete;HU232 - Somogy;9 - Nem szabad vállakozási zóna;1 - Balaton Fejlesztési Tanács működési területe;2 - Nem megyeszékhely;0 - Nem székhelytelepülés;03 - 1000 - 1999;42 - Község;99 - Nem tartozik nemzeti parkhoz
Balatonfenyves;1;;68;;;;;;;;521;86;1;87;44;;;1;16;434;;;;;;;2;1;;;139;215;80;127;85;38;4;21;;;;;;;;;137;91;42;4;;;;;;211;56;;1;;;17;74;;;4;21;546;2 - Dunántúl;9993 - A település nem tartozik borvidékbe - Dunántúl;3 - Egyéb település;2 - Agglomerálódó térség;142 - Fonyódi járás;14 - Somogy vármegye;201 - Balatoni agglomerálódó térség;4 - Község;9 - Nem kedvezményezett település;9 - Nem tartozik borrégióhoz;1 - Kedvezményezett járások;07 - Balatoni Régió;2072 - Balatonfenyves;40 - Dél-Dunántúl (Baranya, Somogy, Tolna);99 - Nem világörökségi helyszín védőövezete;HU232 - Somogy;9 - Nem szabad vállakozási zóna;1 - Balaton Fejlesztési Tanács működési területe;2 - Nem megyeszékhely;0 - Nem székhelytelepülés;04 - 2000 - 4999;42 - Község;99 - Nem tartozik nemzeti parkhoz
Balatonföldvár;2;1;113;;;;;;;;734;160;1;161;64;;;;42;573;;;;;;;3;3;;;192;269;112;200;122;64;14;35;;;;;;;;;215;131;69;15;;;;;;354;93;2;;1;;40;136;3;;5;51;792;2 - Dunántúl;9993 - A település nem tartozik borvidékbe - Dunántúl;2 - Társközpont;2 - Agglomerálódó térség;146 - Siófoki járás;14 - Somogy vármegye;201 - Balatoni agglomerálódó térség;3 - Város;9 - Nem kedvezményezett település;9 - Nem tartozik borrégióhoz;9 - Nem tartozik kedvezményezett járáshoz;07 - Balatoni Régió;0711 - Balatonföldvár;40 - Dél-Dunántúl (Baranya, Somogy, Tolna);99 - Nem világörökségi helyszín védőövezete;HU232 - Somogy;9 - Nem szabad vállakozási zóna;1 - Balaton Fejlesztési Tanács működési területe;2 - Nem megyeszékhely;0 - Nem székhelytelepülés;04 - 2000 - 4999;30 - Város;99 - Nem tartozik nemzeti parkhoz
Balatonkeresztúr;1;1;52;;;;;;;;429;63;;63;20;;;;11;366;;;;;;;;;;;124;184;58;138;80;47;11;33;;;;;;;;;142;82;50;10;;;;;;195;42;;;;;11;53;;;5;15;449;2 - Dunántúl;2600 - Balatonboglári borvidék;3 - Egyéb település;2 - Agglomerálódó térség;144 - Marcali járás;14 - Somogy vármegye;201 - Balatoni agglomerálódó térség;4 - Község;9 - Nem kedvezményezett település;9 - Nem tartozik borrégióhoz;1 - Kedvezményezett járások;07 - Balatoni Régió;0737 - Balatonkeresztúr;40 - Dél-Dunántúl (Baranya, Somogy, Tolna);99 - Nem világörökségi helyszín védőövezete;HU232 - Somogy;9 - Nem szabad vállakozási zóna;1 - Balaton Fejlesztési Tanács működési területe;2 - Nem megyeszékhely;0 - Nem székhelytelepülés;03 - 1000 - 1999;42 - Község;99 - Nem tartozik nemzeti parkhoz
Balatonlelle;3;2;234;;;;;;;;1757;294;1;295;118;;;2;52;1462;;;;;;;;3;2;1;539;668;255;442;310;110;22;183;;;;;;;;;476;327;120;29;;;;;;718;193;1;1;2;3;40;240;2;;9;113;1881;2 - Dunántúl;2600 - Balatonboglári borvidék;2 - Társközpont;2 - Agglomerálódó térség;142 - Fonyódi járás;14 - Somogy vármegye;201 - Balatoni agglomerálódó térség;3 - Város;9 - Nem kedvezményezett település;9 - Nem tartozik borrégióhoz;1 - Kedvezményezett járások;07 - Balatoni Régió;3386 - Balatonlelle;40 - Dél-Dunántúl (Baranya, Somogy, Tolna);99 - Nem világörökségi helyszín védőövezete;HU232 - Somogy;9 - Nem szabad vállakozási zóna;1 - Balaton Fejlesztési Tanács működési területe;2 - Nem megyeszékhely;0 - Nem székhelytelepülés;05 - 5000 - 9999;30 - Város;99 - Nem tartozik nemzeti parkhoz
Balatonmáriafürdő;1;;43;;;;;;;;278;49;;49;17;;;;6;229;;;;;;;1;;;;89;91;49;78;54;21;3;9;;;;;;;;;84;58;24;2;;;;;;129;38;;;;;4;42;3;;1;12;292;2 - Dunántúl;9993 - A település nem tartozik borvidékbe - Dunántúl;3 - Egyéb település;2 - Agglomerálódó térség;144 - Marcali járás;14 - Somogy vármegye;201 - Balatoni agglomerálódó térség;4 - Község;9 - Nem kedvezményezett település;9 - Nem tartozik borrégióhoz;1 - Kedvezményezett járások;07 - Balatoni Régió;1456 - Balatonmáriafürdő;40 - Dél-Dunántúl (Baranya, Somogy, Tolna);99 - Nem világörökségi helyszín védőövezete;HU232 - Somogy;9 - Nem szabad vállakozási zóna;1 - Balaton Fejlesztési Tanács működési területe;2 - Nem megyeszékhely;0 - Nem székhelytelepülés;02 - 500 - 999;42 - Község;99 - Nem tartozik nemzeti parkhoz
Balatonőszöd;;;19;;;;;;;;119;25;;25;9;;;;4;94;;;;;;;;2;;;38;38;18;30;22;8;;22;;;;;;;;;32;22;9;1;;;;;;52;15;2;;;;3;20;;;1;10;130;2 - Dunántúl;2600 - Balatonboglári borvidék;3 - Egyéb település;2 - Agglomerálódó térség;146 - Siófoki járás;14 - Somogy vármegye;201 - Balatoni agglomerálódó térség;4 - Község;9 - Nem kedvezményezett település;9 - Nem tartozik borrégióhoz;9 - Nem tartozik kedvezményezett járáshoz;07 - Balatoni Régió;1191 - Balatonőszöd;40 - Dél-Dunántúl (Baranya, Somogy, Tolna);99 - Nem világörökségi helyszín védőövezete;HU232 - Somogy;9 - Nem szabad vállakozási zóna;1 - Balaton Fejlesztési Tanács működési területe;2 - Nem megyeszékhely;0 - Nem székhelytelepülés;02 - 500 - 999;42 - Község;99 - Nem tartozik nemzeti parkhoz
Balatonszabadi;1;;93;;;;;;;;506;113;;113;43;;;1;19;393;;;;;;;;;;;180;156;57;209;127;71;11;69;;;;;;;;;219;133;76;10;;;;;;318;81;;;;;18;99;;;3;25;536;2 - Dunántúl;2600 - Balatonboglári borvidék;3 - Egyéb település;2 - Agglomerálódó térség;146 - Siófoki járás;14 - Somogy vármegye;201 - Balatoni agglomerálódó térség;4 - Község;9 - Nem kedvezményezett település;9 - Nem tartozik borrégióhoz;9 - Nem tartozik kedvezményezett járáshoz;07 - Balatoni Régió;1660 - Balatonszabadi;40 - Dél-Dunántúl (Baranya, Somogy, Tolna);99 - Nem világörökségi helyszín védőövezete;HU232 - Somogy;9 - Nem szabad vállakozási zóna;1 - Balaton Fejlesztési Tanács működési területe;2 - Nem megyeszékhely;0 - Nem székhelytelepülés;04 - 2000 - 4999;42 - Község;99 - Nem tartozik nemzeti parkhoz
Balatonszárszó;1;;97;;;;;;;;655;117;1;118;52;;;;20;537;;;;;;;1;;;;204;233;100;216;145;53;18;47;;;;;;;;;226;153;52;21;;;;;;320;76;;;1;;16;93;1;;5;29;690;2 - Dunántúl;2600 - Balatonboglári borvidék;3 - Egyéb település;2 - Agglomerálódó térség;146 - Siófoki járás;14 - Somogy vármegye;201 - Balatoni agglomerálódó térség;4 - Község;9 - Nem kedvezményezett település;9 - Nem tartozik borrégióhoz;9 - Nem tartozik kedvezményezett járáshoz;07 - Balatoni Régió;2490 - Balatonszárszó;40 - Dél-Dunántúl (Baranya, Somogy, Tolna);99 - Nem világörökségi helyszín védőövezete;HU232 - Somogy;9 - Nem szabad vállakozási zóna;1 - Balaton Fejlesztési Tanács működési területe;2 - Nem megyeszékhely;0 - Nem székhelytelepülés;04 - 2000 - 4999;41 - Nagyközség;99 - Nem tartozik nemzeti parkhoz
Balatonszemes;1;;52;;;;;;;;470;69;;69;34;;;;16;401;;;;;;;1;;1;;155;179;67;122;86;29;7;49;;;;;;;;;123;85;30;8;;;;;;179;41;;;;1;14;56;;;5;40;515;2 - Dunántúl;2600 - Balatonboglári borvidék;3 - Egyéb település;2 - Agglomerálódó térség;146 - Siófoki járás;14 - Somogy vármegye;201 - Balatoni agglomerálódó térség;4 - Község;9 - Nem kedvezményezett település;9 - Nem tartozik borrégióhoz;9 - Nem tartozik kedvezményezett járáshoz;07 - Balatoni Régió;2282 - Balatonszemes;40 - Dél-Dunántúl (Baranya, Somogy, Tolna);99 - Nem világörökségi helyszín védőövezete;HU232 - Somogy;9 - Nem szabad vállakozási zóna;1 - Balaton Fejlesztési Tanács működési területe;2 - Nem megyeszékhely;0 - Nem székhelytelepülés;03 - 1000 - 1999;42 - Község;99 - Nem tartozik nemzeti parkhoz
Balatonszentgyörgy;1;1;21;;;;;;;;268;31;;31;31;;;1;8;237;;;;;;;;1;;;87;113;37;101;60;38;3;34;;;;;;;;;105;63;39;3;;;;;;131;15;1;1;;;9;26;;;4;18;290;2 - Dunántúl;9993 - A település nem tartozik borvidékbe - Dunántúl;3 - Egyéb település;2 - Agglomerálódó térség;144 - Marcali járás;14 - Somogy vármegye;201 - Balatoni agglomerálódó térség;4 - Község;9 - Nem kedvezményezett település;9 - Nem tartozik borrégióhoz;1 - Kedvezményezett járások;07 - Balatoni Régió;2132 - Balatonszentgyörgy;40 - Dél-Dunántúl (Baranya, Somogy, Tolna);99 - Nem világörökségi helyszín védőövezete;HU232 - Somogy;9 - Nem szabad vállakozási zóna;1 - Balaton Fejlesztési Tanács működési területe;2 - Nem megyeszékhely;0 - Nem székhelytelepülés;03 - 1000 - 1999;42 - Község;02 - Balaton-felvidéki Nemzeti Park
Balatonújlak;1;;3;;;;;;;;100;4;;4;3;;;;1;96;;;;;;;;;;;29;47;20;30;20;9;1;21;;;;;;;;;29;19;9;1;;;;;;33;3;;;;;1;4;;;1;3;105;2 - Dunántúl;2600 - Balatonboglári borvidék;9 - Településegyüttesbe nem tartozó település;9 - Településegyüttesbe nem tartozó települések;144 - Marcali járás;14 - Somogy vármegye;999 - Településegyüttesbe nem tartozó települések;4 - Község;9 - Nem kedvezményezett település;9 - Nem tartozik borrégióhoz;1 - Kedvezményezett járások;07 - Balatoni Régió;1647 - Balatonújlak;40 - Dél-Dunántúl (Baranya, Somogy, Tolna);99 - Nem világörökségi helyszín védőövezete;HU232 - Somogy;9 - Nem szabad vállakozási zóna;1 - Balaton Fejlesztési Tanács működési területe;2 - Nem megyeszékhely;0 - Nem székhelytelepülés;01 - 499;42 - Község;99 - Nem tartozik nemzeti parkhoz
Balatonvilágos;1;;69;;;;;;;;338;82;;82;23;;;;12;256;;;;;;;2;;1;;102;122;32;112;71;34;7;19;;;;;;;;;112;68;38;6;;;;;;182;56;;;;1;12;69;1;;3;26;369;2 - Dunántúl;1900 - Balatonfüred-Csopaki borvidék;3 - Egyéb település;2 - Agglomerálódó térség;146 - Siófoki járás;14 - Somogy vármegye;201 - Balatoni agglomerálódó térség;4 - Község;9 - Nem kedvezményezett település;9 - Nem tartozik borrégióhoz;9 - Nem tartozik kedvezményezett járáshoz;07 - Balatoni Régió;0355 - Balatonvilágos;40 - Dél-Dunántúl (Baranya, Somogy, Tolna);99 - Nem világörökségi helyszín védőövezete;HU232 - Somogy;9 - Nem szabad vállakozási zóna;1 - Balaton Fejlesztési Tanács működési területe;2 - Nem megyeszékhely;0 - Nem székhelytelepülés;03 - 1000 - 1999;42 - Község;99 - Nem tartozik nemzeti parkhoz
Bálványos;1;1;15;;;;;;;;87;20;;20;10;;;;4;67;;;;;;;;1;;;31;28;8;27;19;8;;17;;;;;;;;;34;26;8;;;;;;;51;12;1;;;;4;17;;;1;5;94;2 - Dunántúl;9993 - A település nem tartozik borvidékbe - Dunántúl;9 - Településegyüttesbe nem tartozó település;9 - Településegyüttesbe nem tartozó települések;146 - Siófoki járás;14 - Somogy vármegye;999 - Településegyüttesbe nem tartozó települések;4 - Község;2 - Jelentős munkanélküliséggel sújtott települések;9 - Nem tartozik borrégióhoz;9 - Nem tartozik kedvezményezett járáshoz;07 - Balatoni Régió;2445 - Bálványos;40 - Dél-Dunántúl (Baranya, Somogy, Tolna);99 - Nem világörökségi helyszín védőövezete;HU232 - Somogy;9 - Nem szabad vállakozási zóna;1 - Balaton Fejlesztési Tanács működési területe;2 - Nem megyeszékhely;0 - Nem székhelytelepülés;02 - 500 - 999;42 - Község;99 - Nem tartozik nemzeti parkhoz
Barcs;6;3;208;;;;;;;;1539;276;1;277;81;;;1;58;1262;;;;;;;2;2;1;;429;591;242;522;293;193;36;271;;;;;;;;;537;304;197;36;;;;;;764;166;1;;6;1;52;226;1;;11;116;1676;2 - Dunántúl;9993 - A település nem tartozik borvidékbe - Dunántúl;9 - Településegyüttesbe nem tartozó település;9 - Településegyüttesbe nem tartozó települések;140 - Barcsi járás;14 - Somogy vármegye;999 - Településegyüttesbe nem tartozó települések;3 - Város;9 - Nem kedvezményezett település;9 - Nem tartozik borrégióhoz;3 - Komplex programmal fejlesztendő járások;08 - Dél-Dunántúli Régió;3279 - Barcs;40 - Dél-Dunántúl (Baranya, Somogy, Tolna);99 - Nem világörökségi helyszín védőövezete;HU232 - Somogy;1 - Szabad vállakozási zóna;9 - Nem tartozik területfejlesztési szempontból kiemelt térséghez;2 - Nem megyeszékhely;1 - Székhelytelepülés;05 - 5000 - 9999;30 - Város;04 - Duna-Dráva Nemzeti Park
